County,1929_RUNNING,1931_RUNNING,1933_RUNNING,1935_RUNNING,1937_RUNNING,1939_RUNNING,1941_RUNNING,1943_RUNNING,1945_RUNNING,1947_RUNNING,1949_RUNNING,1951_RUNNING,1953_RUNNING,1955_RUNNING,1957_RUNNING,1959_RUNNING,1961_RUNNING,1963_RUNNING,1965_RUNNING,1967_RUNNING,1969_RUNNING,1971_RUNNING,1973_RUNNING,1975_RUNNING,1977_RUNNING,1979_RUNNING,1981_RUNNING,1983_RUNNING,1985_RUNNING,1987_RUNNING,1989_RUNNING,1991_RUNNING,1993_RUNNING,1995_RUNNING,1997_RUNNING,1999_RUNNING,2001_RUNNING,2003_RUNNING,2005_RUNNING,2007_RUNNING,2009_RUNNING,2011_RUNNING,2013_RUNNING,2015_RUNNING,2017_RUNNING,2019_RUNNING,2021_RUNNING,2023_RUNNING,1929_REPS_RUNNING,1931_REPS_RUNNING,1933_REPS_RUNNING,1935_REPS_RUNNING,1937_REPS_RUNNING,1939_REPS_RUNNING,1941_REPS_RUNNING,1943_REPS_RUNNING,1945_REPS_RUNNING,1947_REPS_RUNNING,1949_REPS_RUNNING,1951_REPS_RUNNING,1953_REPS_RUNNING,1955_REPS_RUNNING,1957_REPS_RUNNING,1959_REPS_RUNNING,1961_REPS_RUNNING,1963_REPS_RUNNING,1965_REPS_RUNNING,1967_REPS_RUNNING,1969_REPS_RUNNING,1971_REPS_RUNNING,1973_REPS_RUNNING,1975_REPS_RUNNING,1977_REPS_RUNNING,1979_REPS_RUNNING,1981_REPS_RUNNING,1983_REPS_RUNNING,1985_REPS_RUNNING,1987_REPS_RUNNING,1989_REPS_RUNNING,1991_REPS_RUNNING,1993_REPS_RUNNING,1995_REPS_RUNNING,1997_REPS_RUNNING,1999_REPS_RUNNING,2001_REPS_RUNNING,2003_REPS_RUNNING,2005_REPS_RUNNING,2007_REPS_RUNNING,2009_REPS_RUNNING,2011_REPS_RUNNING,2013_REPS_RUNNING,2015_REPS_RUNNING,2017_REPS_RUNNING,2019_REPS_RUNNING,2021_REPS_RUNNING,2023_REPS_RUNNING
Decatur,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953","Katheryn C. Metz, Republican, 1949-1953"
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003","Andra Atteberry, Democrat, 2001-2003"
Des Moines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987","Elaine Baxter, Democrat, 1981-1987"
Dickinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993","Josephine K. Gruhn, Democrat, 1983-1993"
Dubuque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,5,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009","Pam Jochum, Democrat, 1993-2009<br>Nancy Dunkel, Democrat, 2013-2017","Pam Jochum, Democrat, 1993-2009<br>Nancy Dunkel, Democrat, 2013-2017<br>Abby Finkenauer, Democrat, 2015-2019","Pam Jochum, Democrat, 1993-2009<br>Nancy Dunkel, Democrat, 2013-2017<br>Abby Finkenauer, Democrat, 2015-2019<br>Shannon Lundgren, Republican, 2017-2025","Pam Jochum, Democrat, 1993-2009<br>Nancy Dunkel, Democrat, 2013-2017<br>Abby Finkenauer, Democrat, 2015-2019<br>Shannon Lundgren, Republican, 2017-2025<br>Lindsay James, Democrat, 2019-2025","Pam Jochum, Democrat, 1993-2009<br>Nancy Dunkel, Democrat, 2013-2017<br>Abby Finkenauer, Democrat, 2015-2019<br>Shannon Lundgren, Republican, 2017-2025<br>Lindsay James, Democrat, 2019-2025","Pam Jochum, Democrat, 1993-2009<br>Nancy Dunkel, Democrat, 2013-2017<br>Abby Finkenauer, Democrat, 2015-2019<br>Shannon Lundgren, Republican, 2017-2025<br>Lindsay James, Democrat, 2019-2025"
Emmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003","Jackie J. Reeder, Democrat, 2001-2003"
Floyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Shannon Latham, Republican, 2021-2025","Shannon Latham, Republican, 2021-2025"
Fremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977","Lillian M. McElroy, Republican, 1971-1977"
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983","Karen Mann, Republican, 1981-1983"
Grundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Guthrie,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953","Helen M. Crabb, Democrat, 1949-1953"
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993","Janet L. Adams, Democrat, 1987-1993"
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013","Lenabelle Bock, Republican, 1961-1965<br>Linda L. Upmeyer, Republican, 2003-2013"
Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Polly A. Granzow, Republican, 2003-2009","Polly A. Granzow, Republican, 2003-2009","Polly A. Granzow, Republican, 2003-2009","Polly A. Granzow, Republican, 2003-2009<br>Annette Sweeney, Republican, 2009-2013","Polly A. Granzow, Republican, 2003-2009<br>Annette Sweeney, Republican, 2009-2013","Polly A. Granzow, Republican, 2003-2009<br>Annette Sweeney, Republican, 2009-2013","Polly A. Granzow, Republican, 2003-2009<br>Annette Sweeney, Republican, 2009-2013","Polly A. Granzow, Republican, 2003-2009<br>Annette Sweeney, Republican, 2009-2013","Polly A. Granzow, Republican, 2003-2009<br>Annette Sweeney, Republican, 2009-2013","Polly A. Granzow, Republican, 2003-2009<br>Annette Sweeney, Republican, 2009-2013","Polly A. Granzow, Republican, 2003-2009<br>Annette Sweeney, Republican, 2009-2013"
Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003","Donna M. Barry, Republican, 1995-2003"
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
